,0
YEAR,2011.0
andhrapradesh,339996.0
arunachalpradesh,10229.0
assam,129354.0
bihar,228497.0
goa,38009.0
gujarat,532809.0
haryana,271152.0
himachalpradesh,60536.0
jammukashmir,65319.0
jharkhand,137383.0
karnataka,554952.0
kerala,328021.0
madhyapradesh,282371.0
chhattisgarh,142273.0
maharashtra,1126595.0
manipur,11501.0
meghalaya,18028.0
mizoram,6404.0
nagaland,10554.0
orissa,204226.0
punjab,239227.0
rajasthan,395331.0
sikkim,9742.0
tamilnadu,674478.0
tripura,17419.0
uttarpradesh,645132.0
uttarakhand,101960.0
westbengal,473205.0
andamannicobarislands,3404.0
chandigarh,16930.0
delhi,314650.0
puducherry,15160.0
telangana,325139.0
