,year,state,district,chloride,sdp,ginivalue
0,2000,westbengal,24paraganasnorth,78.411766,151670.25274630595,
1,2001,westbengal,24paraganasnorth,,162623.54624563822,
2,2002,westbengal,24paraganasnorth,98.555557,168323.56252961702,
3,2003,westbengal,24paraganasnorth,,178213.80416146124,
4,2004,westbengal,24paraganasnorth,71.666664,310686.6999675226,
5,2005,westbengal,24paraganasnorth,54.861111,330248.80030542583,
6,2006,westbengal,24paraganasnorth,,356170.8313006164,
7,2007,westbengal,24paraganasnorth,134.625,383881.49060919316,
8,2008,westbengal,24paraganasnorth,60.0,399354.5969692363,
9,2009,westbengal,24paraganasnorth,,430366.20743387047,
10,2010,westbengal,24paraganasnorth,,456461.5424521131,
11,2011,westbengal,24paraganasnorth,,473205,
12,2012,westbengal,24paraganasnorth,,492901,
13,2013,westbengal,24paraganasnorth,,503952,
14,2014,westbengal,24paraganasnorth,,515702,
15,2015,westbengal,24paraganasnorth,,546988,
16,2016,westbengal,24paraganasnorth,100.2,584911,
17,2017,westbengal,24paraganasnorth,78.07692,623787,
18,2018,westbengal,24paraganasnorth,75.126717,659288,
19,2000,westbengal,24paraganassouth,189.64516,151670.25274630595,0.29
20,2001,westbengal,24paraganassouth,169.94737,162623.54624563822,0.29
21,2002,westbengal,24paraganassouth,226.64706,168323.56252961702,0.29
22,2003,westbengal,24paraganassouth,,178213.80416146124,0.29
23,2004,westbengal,24paraganassouth,286.90909,310686.6999675226,0.29
24,2005,westbengal,24paraganassouth,213.74286,330248.80030542583,0.29
25,2006,westbengal,24paraganassouth,,356170.8313006164,0.29
26,2007,westbengal,24paraganassouth,193.5,383881.49060919316,0.29
27,2008,westbengal,24paraganassouth,,399354.5969692363,0.29
28,2009,westbengal,24paraganassouth,257.65714,430366.20743387047,0.29
29,2010,westbengal,24paraganassouth,296.625,456461.5424521131,0.29
30,2011,westbengal,24paraganassouth,352.92001,473205,0.29
31,2012,westbengal,24paraganassouth,263.30768,492901,0.29
32,2013,westbengal,24paraganassouth,177.96364,503952,0.29
33,2014,westbengal,24paraganassouth,,515702,0.29
34,2015,westbengal,24paraganassouth,,546988,0.29
35,2016,westbengal,24paraganassouth,255.11429,584911,0.29
36,2017,westbengal,24paraganassouth,276.57407,623787,0.29
37,2018,westbengal,24paraganassouth,293.66,659288,0.29
38,2000,telangana,adilabad,76.699997,,0.37
39,2001,telangana,adilabad,53.714287,,0.37
40,2002,telangana,adilabad,65.845711,,0.37
41,2003,telangana,adilabad,,,0.37
42,2004,telangana,adilabad,65.5,161790.06689829516,0.37
43,2005,telangana,adilabad,68.25,187774.5444577278,0.37
44,2006,telangana,adilabad,76.727272,208477.0974396334,0.37
45,2007,telangana,adilabad,80.5,229691.84931694495,0.37
46,2008,telangana,adilabad,164.58333,260994.69248203636,0.37
47,2009,telangana,adilabad,145.25,261701.24352747787,0.37
48,2010,telangana,adilabad,118.36364,307973.2512484278,0.37
49,2011,telangana,adilabad,141.72728,325139.0,0.37
50,2012,telangana,adilabad,55.666668,334205.0,0.37
51,2013,telangana,adilabad,96.63636,349593.0,0.37
52,2014,telangana,adilabad,102.72727,372897.0,0.37
53,2015,telangana,adilabad,124.66666,416892.0,0.37
54,2016,telangana,adilabad,145.375,455731.0,0.37
55,2017,telangana,adilabad,134.16667,498145.0,0.37
56,2018,telangana,adilabad,78.0,544441.0,0.37
57,2000,uttarpradesh,agra,799.5,198838.77708154044,0.26
58,2000,uttarpradesh,agra,799.5,198838.77708154044,0.26
59,2001,uttarpradesh,agra,,202456.06096170397,0.26
60,2001,uttarpradesh,agra,,202456.06096170397,0.26
61,2002,uttarpradesh,agra,263.25,209007.1844987091,0.26
62,2002,uttarpradesh,agra,263.25,209007.1844987091,0.26
63,2003,uttarpradesh,agra,,220011.87912005163,0.26
64,2003,uttarpradesh,agra,,220011.87912005163,0.26
65,2004,uttarpradesh,agra,598.40002,407921.1791392405,0.26
66,2004,uttarpradesh,agra,598.40002,407921.1791392405,0.26
67,2005,uttarpradesh,agra,297.0,431731.25103797467,0.26
68,2005,uttarpradesh,agra,297.0,431731.25103797467,0.26
69,2006,uttarpradesh,agra,,466022.3453164557,0.26
70,2006,uttarpradesh,agra,,466022.3453164557,0.26
71,2007,uttarpradesh,agra,,495890.4340253165,0.26
72,2007,uttarpradesh,agra,,495890.4340253165,0.26
73,2008,uttarpradesh,agra,,533571.6164050633,0.26
74,2008,uttarpradesh,agra,,533571.6164050633,0.26
75,2009,uttarpradesh,agra,,566760.9320506329,0.26
76,2009,uttarpradesh,agra,,566760.9320506329,0.26
77,2010,uttarpradesh,agra,,612018.6082025316,0.26
78,2010,uttarpradesh,agra,,612018.6082025316,0.26
79,2011,uttarpradesh,agra,,645132.0,0.26
80,2011,uttarpradesh,agra,,645132.0,0.26
81,2012,uttarpradesh,agra,,673552.0,0.26
82,2012,uttarpradesh,agra,,673552.0,0.26
83,2013,uttarpradesh,agra,,707469.0,0.26
84,2013,uttarpradesh,agra,,707469.0,0.26
85,2014,uttarpradesh,agra,,729686.0,0.26
86,2014,uttarpradesh,agra,,729686.0,0.26
87,2015,uttarpradesh,agra,,792049.0,0.26
88,2015,uttarpradesh,agra,,792049.0,0.26
89,2016,uttarpradesh,agra,202.93871,888453.0,0.26
90,2016,uttarpradesh,agra,202.93871,888453.0,0.26
91,2017,uttarpradesh,agra,,922458.0,0.26
92,2017,uttarpradesh,agra,,922458.0,0.26
93,2018,uttarpradesh,agra,220.233,949184.0,0.26
94,2018,uttarpradesh,agra,220.233,949184.0,0.26
95,2000,gujarat,ahmadabad,784.0,118544.22579001426,0.33
96,2001,gujarat,ahmadabad,868.09998,128177.97574025272,0.33
97,2002,gujarat,ahmadabad,1258.3077,139353.34513013638,0.33
98,2003,gujarat,ahmadabad,,162562.67267255313,0.33
99,2004,gujarat,ahmadabad,1417.1,272449.2629108957,0.33
100,2005,gujarat,ahmadabad,732.66669,311996.4362722108,0.33
101,2006,gujarat,ahmadabad,578.08331,338383.36050177214,0.33
102,2007,gujarat,ahmadabad,1115.5,378395.5156254638,0.33
103,2008,gujarat,ahmadabad,1135.3,394570.23835956375,0.33
104,2009,gujarat,ahmadabad,1090.7,450323.76586738543,0.33
105,2010,gujarat,ahmadabad,1359.4546,499605.5063968227,0.33
106,2011,gujarat,ahmadabad,1004.5333,532809,0.33
