,year,state,district,chloride,sdp,ginivalue,intercept,sdp2,sdp3
0,2000,westbengal,24paraganasnorth,78.411766,247972.2633412,,1,61490243386.55745,1.5247874825965906e+16
1,2001,westbengal,24paraganasnorth,,265880.2771468,,1,70692321775.65918,1.8795694105863028e+16
2,2002,westbengal,24paraganasnorth,98.555557,275199.4805728,,1,75734754107.53891,2.084216499170344e+16
3,2003,westbengal,24paraganasnorth,,291369.4648514,,1,84896165047.79121,2.4736150177911056e+16
4,2004,westbengal,24paraganasnorth,71.666664,310686.6401106,,1,96526188343.21347,2.9989397139035956e+16
5,2005,westbengal,24paraganasnorth,54.861111,330249.3539621,,1,109064635792.38441,3.601852551054668e+16
6,2006,westbengal,24paraganasnorth,,356170.7914031,,1,126857632648.71059,4.5182983416014984e+16
7,2007,westbengal,24paraganasnorth,134.625,383881.2012807,,1,147364776696.7133,5.65705675047964e+16
8,2008,westbengal,24paraganasnorth,60.0,399354.6414195,,1,159484129623.29742,6.3690727397813e+16
9,2009,westbengal,24paraganasnorth,,430366.1837455,,1,185215052111.66547,7.971029514952138e+16
10,2010,westbengal,24paraganasnorth,,456461.6610105,,1,208357247972.4646,9.510709549308782e+16
11,2011,westbengal,24paraganasnorth,,473204.651118,,1,223922641839.70807,1.0596123560917992e+17
12,2012,westbengal,24paraganasnorth,,492901.166371,,1,242951559809.8922,1.1975110720194965e+17
13,2013,westbengal,24paraganasnorth,,503951.567141,,1,253967182023.86984,1.2798715938331282e+17
14,2014,westbengal,24paraganasnorth,,515701.602897,,1,265948143230.53506,1.3714988375146786e+17
15,2015,westbengal,24paraganasnorth,,546988.050863,,1,299195927786.9039,1.6365659736630544e+17
16,2016,westbengal,24paraganasnorth,100.2,584910.827282,,1,342120675871.7136,2.00110087554401e+17
17,2017,westbengal,24paraganasnorth,78.07692,623786.822041,,1,389109999352.0102,2.42721689920166e+17
18,2018,westbengal,24paraganasnorth,75.126717,659287.894247,,1,434660527500.64343,2.8656642388818944e+17
19,2000,westbengal,24paraganassouth,189.64516,247972.2633412,0.29,1,61490243386.55745,1.5247874825965906e+16
20,2001,westbengal,24paraganassouth,169.94737,265880.2771468,0.29,1,70692321775.65918,1.8795694105863028e+16
21,2002,westbengal,24paraganassouth,226.64706,275199.4805728,0.29,1,75734754107.53891,2.084216499170344e+16
22,2003,westbengal,24paraganassouth,,291369.4648514,0.29,1,84896165047.79121,2.4736150177911056e+16
23,2004,westbengal,24paraganassouth,286.90909,310686.6401106,0.29,1,96526188343.21347,2.9989397139035956e+16
24,2005,westbengal,24paraganassouth,213.74286,330249.3539621,0.29,1,109064635792.38441,3.601852551054668e+16
25,2006,westbengal,24paraganassouth,,356170.7914031,0.29,1,126857632648.71059,4.5182983416014984e+16
26,2007,westbengal,24paraganassouth,193.5,383881.2012807,0.29,1,147364776696.7133,5.65705675047964e+16
27,2008,westbengal,24paraganassouth,,399354.6414195,0.29,1,159484129623.29742,6.3690727397813e+16
28,2009,westbengal,24paraganassouth,257.65714,430366.1837455,0.29,1,185215052111.66547,7.971029514952138e+16
29,2010,westbengal,24paraganassouth,296.625,456461.6610105,0.29,1,208357247972.4646,9.510709549308782e+16
30,2011,westbengal,24paraganassouth,352.92001,473204.651118,0.29,1,223922641839.70807,1.0596123560917992e+17
31,2012,westbengal,24paraganassouth,263.30768,492901.166371,0.29,1,242951559809.8922,1.1975110720194965e+17
32,2013,westbengal,24paraganassouth,177.96364,503951.567141,0.29,1,253967182023.86984,1.2798715938331282e+17
33,2014,westbengal,24paraganassouth,,515701.602897,0.29,1,265948143230.53506,1.3714988375146786e+17
34,2015,westbengal,24paraganassouth,,546988.050863,0.29,1,299195927786.9039,1.6365659736630544e+17
35,2016,westbengal,24paraganassouth,255.11429,584910.827282,0.29,1,342120675871.7136,2.00110087554401e+17
36,2017,westbengal,24paraganassouth,276.57407,623786.822041,0.29,1,389109999352.0102,2.42721689920166e+17
37,2018,westbengal,24paraganassouth,293.66,659287.894247,0.29,1,434660527500.64343,2.8656642388818944e+17
38,2000,telangana,adilabad,76.699997,0,0.37,1,0,0
39,2001,telangana,adilabad,53.714287,0,0.37,1,0,0
40,2002,telangana,adilabad,65.845711,0,0.37,1,0,0
41,2003,telangana,adilabad,,0,0.37,1,0,0
42,2004,telangana,adilabad,65.5,161790.0415709,0.37,1,26176017551.513554,4235018967819986.0
43,2005,telangana,adilabad,68.25,187776.1779824,0.37,1,35259893017.67796,6620967946927880.0
44,2006,telangana,adilabad,76.727272,208478.0615525,0.37,1,43463102148.68798,9061103285016768.0
45,2007,telangana,adilabad,80.5,229693.2189788,0.37,1,52758974844.842964,1.2118378762133516e+16
46,2008,telangana,adilabad,164.58333,260994.8059207,0.37,1,68118288717.583855,1.7778519543496006e+16
47,2009,telangana,adilabad,145.25,261702.8578216,0.37,1,68488385791.99258,1.7923606289352722e+16
