country ,state                                        ,district                          ,year   ,dyid                            ,chloride     ,nsdp            ,gini
        ,Andaman And Nicobar Islands                  ,Nicobar                           ,       ,                                ,             ,                ,0.33
India   ,Andaman And Nicobar Islands                  ,North And Middle Andaman          ,2000.0 ,North And Middle Andaman2000    ,             ,   1247.3883961 ,0.3
India   ,Andaman And Nicobar Islands                  ,North And Middle Andaman          ,2001.0 ,North And Middle Andaman2001    ,             ,   1275.6704719 ,0.3
India   ,Andaman And Nicobar Islands                  ,North And Middle Andaman          ,2002.0 ,North And Middle Andaman2002    ,             ,   1411.1267297 ,0.3
India   ,Andaman And Nicobar Islands                  ,North And Middle Andaman          ,2003.0 ,North And Middle Andaman2003    ,             ,   1559.9797602 ,0.3
India   ,Andaman And Nicobar Islands                  ,North And Middle Andaman          ,2004.0 ,North And Middle Andaman2004    ,  54.294117  ,   1619.5209724 ,0.3
India   ,Andaman And Nicobar Islands                  ,North And Middle Andaman          ,2005.0 ,North And Middle Andaman2005    ,  35.6875    ,   1705.9924916 ,0.3
India   ,Andaman And Nicobar Islands                  ,North And Middle Andaman          ,2006.0 ,North And Middle Andaman2006    ,             ,   2012.7271365 ,0.3
India   ,Andaman And Nicobar Islands                  ,North And Middle Andaman          ,2007.0 ,North And Middle Andaman2007    ,  55.25      ,   2219.654041  ,0.3
India   ,Andaman And Nicobar Islands                  ,North And Middle Andaman          ,2008.0 ,North And Middle Andaman2008    ,             ,   2557.8247728 ,0.3
India   ,Andaman And Nicobar Islands                  ,North And Middle Andaman          ,2009.0 ,North And Middle Andaman2009    ,             ,   2887.2702753 ,0.3
India   ,Andaman And Nicobar Islands                  ,North And Middle Andaman          ,2010.0 ,North And Middle Andaman2010    ,             ,   3138.7589504 ,0.3
India   ,Andaman And Nicobar Islands                  ,North And Middle Andaman          ,2011.0 ,North And Middle Andaman2011    ,             ,   3403.621748  ,0.3
India   ,Andaman And Nicobar Islands                  ,North And Middle Andaman          ,2012.0 ,North And Middle Andaman2012    ,             ,   3557.523694  ,0.3
India   ,Andaman And Nicobar Islands                  ,North And Middle Andaman          ,2013.0 ,North And Middle Andaman2013    ,             ,   3811.152063  ,0.3
India   ,Andaman And Nicobar Islands                  ,North And Middle Andaman          ,2014.0 ,North And Middle Andaman2014    ,             ,   4151.069428  ,0.3
India   ,Andaman And Nicobar Islands                  ,North And Middle Andaman          ,2015.0 ,North And Middle Andaman2015    ,             ,   4483.208993  ,0.3
India   ,Andaman And Nicobar Islands                  ,North And Middle Andaman          ,2016.0 ,North And Middle Andaman2016    ,  65.917244  ,   5090.617065  ,0.3
India   ,Andaman And Nicobar Islands                  ,North And Middle Andaman          ,2017.0 ,North And Middle Andaman2017    ,             ,   5749.685598  ,0.3
India   ,Andaman And Nicobar Islands                  ,North And Middle Andaman          ,2018.0 ,North And Middle Andaman2018    ,  30.236765  ,   6107.629334  ,0.3
India   ,Andaman And Nicobar Islands                  ,South Andaman                     ,2000.0 ,South Andaman2000               ,             ,   1247.3883961 ,0.33
