,year,state,district,chloride,sdp,intercept,gini,region
0,2000,westbengal,24paraganasnorth,78.411766,247972.31111561856,1,0.38,eastern_region
1,2001,westbengal,24paraganasnorth,,265880.32837131777,1,0.38,eastern_region
2,2002,westbengal,24paraganasnorth,98.555557,275199.53359278664,1,0.38,eastern_region
3,2003,westbengal,24paraganasnorth,,291369.5209867059,1,0.38,eastern_region
4,2004,westbengal,24paraganasnorth,71.666664,310686.6999675226,1,0.38,eastern_region
5,2005,westbengal,24paraganasnorth,54.861111,330248.80030542583,1,0.38,eastern_region
6,2006,westbengal,24paraganasnorth,,356170.8313006164,1,0.38,eastern_region
7,2007,westbengal,24paraganasnorth,134.625,383881.4906091932,1,0.38,eastern_region
8,2008,westbengal,24paraganasnorth,60.0,399354.5969692363,1,0.38,eastern_region
9,2009,westbengal,24paraganasnorth,,430366.20743387047,1,0.38,eastern_region
10,2010,westbengal,24paraganasnorth,,456461.5424521131,1,0.38,eastern_region
11,2011,westbengal,24paraganasnorth,,473205.0,1,0.38,eastern_region
12,2012,westbengal,24paraganasnorth,,492901.0,1,0.38,eastern_region
13,2013,westbengal,24paraganasnorth,,503952.0,1,0.38,eastern_region
14,2014,westbengal,24paraganasnorth,,515702.0,1,0.38,eastern_region
15,2015,westbengal,24paraganasnorth,,546988.0,1,0.38,eastern_region
16,2016,westbengal,24paraganasnorth,100.2,584911.0,1,0.38,eastern_region
17,2017,westbengal,24paraganasnorth,78.07692,623787.0,1,0.38,eastern_region
18,2018,westbengal,24paraganasnorth,75.126717,659288.0,1,0.38,eastern_region
19,2000,westbengal,24paraganassouth,189.64516,247972.31111561856,1,0.29,eastern_region
20,2001,westbengal,24paraganassouth,169.94737,265880.32837131777,1,0.29,eastern_region
21,2002,westbengal,24paraganassouth,226.64706,275199.53359278664,1,0.29,eastern_region
22,2003,westbengal,24paraganassouth,,291369.5209867059,1,0.29,eastern_region
23,2004,westbengal,24paraganassouth,286.90909,310686.6999675226,1,0.29,eastern_region
24,2005,westbengal,24paraganassouth,213.74286,330248.80030542583,1,0.29,eastern_region
25,2006,westbengal,24paraganassouth,,356170.8313006164,1,0.29,eastern_region
26,2007,westbengal,24paraganassouth,193.5,383881.4906091932,1,0.29,eastern_region
27,2008,westbengal,24paraganassouth,,399354.5969692363,1,0.29,eastern_region
28,2009,westbengal,24paraganassouth,257.65714,430366.20743387047,1,0.29,eastern_region
29,2010,westbengal,24paraganassouth,296.625,456461.5424521131,1,0.29,eastern_region
30,2011,westbengal,24paraganassouth,352.92001,473205.0,1,0.29,eastern_region
31,2012,westbengal,24paraganassouth,263.30768,492901.0,1,0.29,eastern_region
32,2013,westbengal,24paraganassouth,177.96364,503952.0,1,0.29,eastern_region
