,district,ginivalue
0,southandaman,0.33
1,nicobar,0.33
2,northandmiddleandaman,0.3
3,andamanandnicobarislands,0.33
4,westgodavari,0.26
5,prakasam,0.24
6,krishna,0.33
7,sripottisriramulunellore,0.27
8,eastgodavari,0.28
9,y.s.r.,0.35
10,guntur,0.33
11,chittoor,0.31
12,visakhapatanam,0.42
13,anantapur,0.27
14,vizianagaram,0.28
15,kurnool,0.26
16,andhrapradesh,0.32
17,westkameng,0.23
18,papumpare,0.3
19,uppersubansiri,0.29
20,eastsiang,0.28
21,lowersubansiri,0.33
22,kurungkumey,0.23
23,uppersiang,0.34
24,dibangvalley,0.34
25,anjaw,0.34
26,changlang,0.3
27,eastkameng,0.29
28,tawang,0.37
29,lowerdibangvalley,0.25
30,tirap,0.22
31,westsiang,0.31
32,lohit,0.31
33,arunachalpradesh,0.34
34,dibrugarh,0.27
35,kamrupmetropolitan,0.31
36,tinsukia,0.24
37,dhemaji,0.18
38,morigaon,0.17
39,kamrup,0.24
40,chirang,0.2
41,nalbari,0.26
42,sivasagar,0.23
43,golaghat,0.22
44,lakhimpur,0.21
45,nagaon,0.24
46,jorhat,0.31
47,udalguri,0.19
48,bongaigaon,0.27
49,barpeta,0.21
50,sonitpur,0.19
51,goalpara,0.24
52,baksa,0.2
53,darrang,0.22
54,dhubri,0.24
55,kokrajhar,0.23
56,northcacharhills,0.19
57,karbianglong,0.17
58,cachar,0.19
59,karimganj,0.19
60,hailakandi,0.21
61,assam,0.26
62,khagaria,0.2
63,saharsa,0.23
64,gopalganj,0.17
65,begusarai,0.21
66,jehanabad,0.23
67,madhubani,0.25
68,siwan,0.19
69,supaul,0.21
70,samastipur,0.2
71,araria,0.23
72,vaishali,0.25
73,nawada,0.16
74,purnia,0.18
75,patna,0.34
76,kishanganj,0.24
77,munger,0.26
78,darbhanga,0.2
79,pashchimchamparan,0.22
80,lakhisarai,0.22
81,saran,0.23
82,arwal,0.21
83,gaya,0.21
84,madhepura,0.22
85,rohtas,0.23
86,sheikhpura,0.21
87,banka,0.19
88,aurangabad,0.19
89,purbichamparan,0.23
90,katihar,0.2
91,muzaffarpur,0.24
92,bhojpur,0.23
93,bhagalpur,0.24
94,kaimur(bhabua),0.21
95,buxar,0.23
96,sheohar,0.26
97,jamui,0.21
98,nalanda,0.27
99,sitamarhi,0.21
100,chandigarh,0.39
101,jashpur,0.22
102,korea,0.26
103,bilaspur,0.32
104,surguja,0.25
105,raipur,0.32
106,mahasamund,0.25
107,durg,0.36
108,dhamtari,0.3
109,kanker,0.25
110,korba,0.34
111,janjgir-champa,0.24
112,kabirdham,0.24
113,raigarh,0.27
114,dantewada,0.36
115,rajnandgaon,0.31
116,narayanpur,0.29
117,vijayapura,0.29
118,bastar,0.27
119,chhattisgarh,0.31
120,dadraandnagarhaveli,0.35
121,diu,0.29
122,daman,0.28
123,damananddiu,0.28
124,southgoa,0.23
125,northgoa,0.27
126,goa,0.25
127,amreli,0.19
128,junagadh,0.23
129,rajkot,0.29
130,jamnagar,0.18
131,ahmadabad,0.33
132,sabarkantha,0.22
133,surat,0.29
134,kachchh,0.35
135,bharuch,0.25
136,bhavnagar,0.24
137,navsari,0.3
138,porbandar,0.21
139,valsad,0.32
140,anand,0.21
141,surendranagar,0.33
142,thedangs,0.31
143,vadodara,0.33
144,narmada,0.19
145,gandhinagar,0.3
146,kheda,0.22
147,mahesana,0.32
148,panchmahals,0.23
149,banaskantha,0.22
150,patan,0.33
151,dahod,0.19
152,tapi,
153,gujarat,0.31
154,jhajjar,0.25
155,gurgaon,0.42
156,sonipat,0.24
157,rewari,0.32
158,rohtak,0.28
159,kaithal,0.28
160,nuh,0.26
161,jind,0.28
162,kurukshetra,0.3
163,bhiwani,0.27
164,karnal,0.34
165,mahendragarh,0.25
166,panchkula,0.44
167,faridabad,0.42
168,ambala,0.37
169,hisar,0.3
170,panipat,0.28
171,yamunanagar,0.26
172,sirsa,0.31
173,fatehabad,0.3
174,palwal,
175,haryana,0.34
176,shimla,0.28
177,kinnaur,0.33
178,kangra,0.3
179,una,0.27
180,lahaulandspiti,0.25
181,hamirpur,0.25
182,sirmaur,0.35
183,bilaspur,0.38
184,mandi,0.24
185,kullu,0.26
186,chamba,0.27
187,solan,0.32
188,kupwara,0.2
189,rajouri,0.21
190,kargil,0.23
191,leh,0.23
192,anantnag,0.17
193,pulwama,0.2
194,poonch,0.22
195,jammu,0.31
196,kathua,0.24
197,baramulla,0.2
198,budgam,0.19
199,srinagar,0.28
200,udhampur,0.26
201,doda,0.21
202,samba,
203,reasi,
204,ramban,
205,kishtwar,
206,kulgam,
207,shopian,
208,ganderbal,
209,bandipora,
210,jammuandkashmir,0.26
211,palamu,0.36
212,bokaro,0.29
213,hazaribagh,0.24
214,pakur,0.23
215,dhanbad,0.34
216,khunti,0.23
217,ranchi,0.34
218,jamtara,0.21
219,giridih,0.21
220,purbisinghbhum,0.26
221,deoghar,0.27
222,garhwa,0.22
223,koderma,0.27
224,chatra,0.21
225,latehar,0.25
226,gumla,0.21
227,lohardaga,0.24
228,godda,0.18
